Title,Subtitle,Product Description
Nike SB Blazer Low Pro GT Premium,Skate Shoes,"Grant Taylor has been skating in the Nike SB Blazer since 2014. Fresh off the press, this new edition updates the look with all-over tree-print camo on durable canvas. Other insights from GT, like raised taping, create a fresh new look that's built to skate longer and better than ever."
Nike SB Zoom Blazer Mid Premium Plus,Skate Shoes,"The Zoom Blazer Mid is an iconic hoops shoe tailored to the needs of the modern skateboarder. Durable materials are paired with tacky rubber for grip and comfort that lasts. Hidden details (like the how-to guide on the sockliner) are inspired by getting outside, while textile accents and throwback branding nod to your favourite '90s backpacks."
Nike SB Force 58 Premium,Skate Shoe,"The latest and greatest innovation to hit the streets, the Nike SB Force 58 Premium gives you the durability of a cupsole with the flexibility of a vulcanised shoe.Made from soft, supple leather and finished with perforations, the whole look is infused with heritage basketball DNA."
Nike SB Zoom Nyjah 3,Skate Shoes,Light. Effortless. On point. The Nyjah 3 delivers the next iteration of the skate shoe that's as extraordinary as Nyjah. Zoom Air cushioning pairs with a honeycomb outsole that's grippy yet featherlight.
Nike SB Zoom Blazer Mid Premium,Skate Shoes,"The Nike SB Zoom Blazer Mid brings you a blank canvas to tell your story. The nearly all-white upper is ready for you to dye, colour or draw on. Lightweight cushioning adds comfort to the toughest skate sessions while the durable traction pattern helps you land big sets. We're looking forward to seeing what you create."
Nike SB Zoom Blazer Mid PRM,Skate Shoes,"The SB Zoom Blazer Mid PRM tailors iconic hoops style to the needs of the modern skater. Praised for its classic simplicity and comfort, it now uses an overspray dye method that is designed to waste less water. Plush mid-cut collar, tacky rubber for flexible grip and a durable design make it your no-brainer for long skate days."
Nike SB Ishod Wair PRM,Skate Shoes,"When it came time to build his signature shoe, Ishod Wair was all in from start to finish. Honouring his first love, basketball, he infused the design with elements taken from the iconic hoops shoes of the '90s. Built with all the durability you need to skate hard—seriously, check out that new cupsole—the Nike SB Ishod Wair walks the line between original style and modern skate innovation."
Nike SB Dunk High Pro,Skate Shoes,"The freedom of wearing nothing. Well, almost nothing. Minimal and lightweight, the SB Dunk High Pro brings you an immediate, broken-in sensation for incredible boardfeel. Its monochromatic upper adds a little PNW flair to your session, while all-over suede boosts its retro appeal. Speaking of appeal, the skate-specific outsole (now donning 8% Nike Grind material) adds exceptional grip and pairs with Zoom Air in the heel for the cushioning needed for big sets. Oh, and that exposed foam tongue with suede labelling adds the cherry on top."
Nike SB Zoom Blazer Mid Premium Plus,Skate Shoes,"Styled for the '70s. Loved in the '80s. Classic in the '90s. Ready for the future. The Zoom Blazer Mid delivers a timeless design that's easy to wear. The era-echoing upper blends a mix of materials that break in beautifully. Exposed foam on the tongue and a special midsole finish make it look like you've just pulled them from the history books. Go ahead, perfect your outfit."
Nike SB Ishod Premium,Skate Shoes,"When it came time to build his signature shoe, Ishod Wair was all-in from start to finish. Infused with elements taken from the iconic hoops shoes of the '90s (did you know basketball was Ishod's first love?), it walks the line between classic style and modern skate innovation. Plus, it's built with all the durability you need to skate hard—seriously, check out that new cupsole."
Nike SB Shane,Skate Shoes,"Shane O'Neill put the same attention to detail into every aspect of his signature shoe as he does in his almost-otherworldly skating. From the low-key perforated ventilation, to the double lacing option, to the no-break-in remastered sole—the Nike SB Shane gets all the details right."
Jordan Flight Heritage,Men's Jacket,"Celebrate #23 loud and proud with an all-over print that pays homage to 23 of Jordan's iconic logos. This lightweight jacket makes a subtle statement with a crisp collar, neutral palette and sleek full-zip opening."
Jordan Flight Heritage,Men's Woven Trousers,"Celebrate #23 loud and proud with an all-over print that pays homage to 23 of Jordan's iconic logos. These lightweight bottoms fit like trousers, with welt pockets, a zip fly and belt loops."
Jordan Flight MVP,Men's Hooded Pullover Jacket,"Tell the world to watch out, you're coming through! This bold, lightweight jacket has you covered, whether you're shooting around with friends or sitting courtside at the game. Retro vibes bring the heat, from the quarter-zip design to the big screen-printed graphics that recall your favourite icon."
Jordan Flight MVP,Men's Mesh Shorts,"Easy breezy. These classic mesh shorts are relaxed and breathable, with a big, retro-inspired Jumpman logo to keep your look fresh."
Nike Sportswear,Men's T-Shirt,"Go ahead, add a burst of colour. This Nike tee is made from soft, lightweight cotton in a relaxed fit for casual, everyday comfort. The stylised Nike Futura logo printed on the chest brings a heavy dose of seasonal vibrancy to your look."
Nike Sportswear Tech Fleece,Men's Joggers,"Ready for cooler weather, the Nike Sportswear Tech Fleece Joggers feature an updated fit perfect for everyday wear. Roomy through the thigh, this tapered design narrows at the knee to give you a comfortable feel without losing the clean, tailored look you love. Tall ribbed cuffs complete the jogger look while a zipped pocket on the right leg provides secure small-item storage and elevates the look."
Nike,Men's T-Shirt,"We're proud to announce your admission to State University at Nike on a basketball scholarship. Our soft cotton tee has an easy, relaxed fit with the comfort that scores major points on and off the court. Welcome to the team!"
Paris Saint-Germain,Men's Fleece Trousers,"Comfy and casual, but still sleek and stylish—these fleece trousers do it all for you. Lightweight with plenty of pockets, they rep Jordan and PSG with embroidered and screen-printed graphics for subtle flair."
Nike Sportswear Air,Men's French Terry Pullover Hoodie,"Stay true to the history and culture of Nike Air in this French terry hoodie. Raglan sleeves and a roomy fit through the chest and body pair up with soft ribbing on the cuffs and hem for a clean, comfortable finish. The hood can be adjusted with the bungees and Nike-branded cord locks."
Nike Max90,Men's All-over Print Basketball T-Shirt,"Fly high as you sail to the rim in this roomy tee. It's made with angled sleeves so nothing holds back your shot. Plus, we made it from smooth jersey fabric to keep you comfortable."
Nike Dri-FIT Form,Men's 18cm (approx.) Unlined Versatile Shorts,"Designed for running, training and yoga, these versatile shorts are built to handle those days when you need to shake up your exercise routine. Our sweat-wicking Form Shorts offer a smooth feel and a minimal fit made to keep up with your moves, from tough dead lifts to sweaty hot yoga classes."
Nike Dri-FIT Ready,Men's Short-Sleeve Fitness Top,"The sweat-wicking Ready Top keeps you fresh for all your fitness activities. It's cut with a relaxed fit with quick-drying, breathable fabric to help you stay cool when your workout heats up. Plus, it has angled sleeves for better movement, whether you're lifting at the gym or stretching outside."
Nike Dri-FIT ADV Tiger Woods,Men's Mock-Neck Golf Polo,"To be at your best on the course, you need to be at your most comfortable. That's why we used Tiger's insights on this polo, creating a super-soft, stretchy feel so nothing holds you back as you take your swing. It has the iconic mock-neck look for extra warmth, plus sweat-wicking fabric that helps keep the top from sticking to your skin when you sweat."
Nike Dri-FIT Hyverse,Men's Short-Sleeve Fitness Tank,"We made the sweat-wicking Hyverse Tank to help you get through your hardest of workouts, whether you're going on a quick run, doing reps at the gym or finding your centre on the yoga mat. It's built to handle your best, so give it all you've got."
Nike Dri-FIT Unlimited,Men's 18cm (approx.) 2-in-1 Versatile Shorts,"Designed for running, training and yoga, our sweat-wicking Unlimited Shorts were made to do it all. They're here for whatever your workout requires, with a smooth, stretchy outer layer that helps you stay free to move. A tight inner layer adds extra support during your routine. Plus, a hidden pocket lets you keep your phone close as you bring the heat to the gym or a run."
Nike Dri-FIT UV Hyverse,Men's Short-Sleeve Fitness Top,"Turn your workout into a tune-up for your body with this sweat-wicking UV Hyverse Top. It's straight from the Nike Body Shop, with smooth fabric and a relaxed fit that helps you get through your hardest workouts."
Nike 'Just Do It.',Men's Long-Sleeve T-Shirt,"Made from sweat-wicking fabric, this long-sleeve tee is designed to stay comfortable from your first stride to your last. Made from soft and smooth jersey fabric, it makes you feel like you're running in the clouds."
Nike Circa,Men's 20cm (approx.) Basketball Shorts,The 1990s was an era when hoops reached new heights. We've looked back on those days with our Circa Shorts. They have an oversized fit with silky-soft fabric and a look inspired by the hard-court fashions of the era.
Nike Dri-FIT,Men's Fitness T-Shirt,Get through each rep and every stride with this sweat-wicking camo T-shirt. The smooth fabric helps you stay cool while its relaxed fit sits slightly off the body to help you move comfortably through your workout.
Jordan x Honor The Gift®,Men's T-Shirt,"Jordan and Russell Westbrook's Honor The Gift® bring you an extra-roomy tee that honours two of the greatest. The graphics are inspired by Russell's coming of age in the inner city of Los Angeles, embodying the ethos of strength, focus and leadership."
Nike Club Fleece,Men's Woven Flow Shorts,"Pull on these comfy woven shorts and find your flow. They're made from cotton canvas for durable comfort, finished with a heavy wash to add soft texture and a bit of nostalgia to your look. A soft elastic waistband with an external drawcord helps you find the right fit so you can stay comfortable from sunrise til sunset."
Nike Sportswear,Men's T-Shirt,"Made from soft, lightweight cotton in a relaxed fit, this Nike tee has a Futura logo printed on the chest, so you can bring that signature Nike style to any outfit."
Nike AeroSwift,Men's 5cm (approx.) Running Shorts,"The Nike AeroSwift Shorts keep you ready for your race.Lightweight and breathable, they have a convenient pocket for smaller items. This product is made from at least 75% recycled polyester fibres."
Nike Dri-FIT Academy,Men's Short-Sleeve Football Top,"Simple, smooth and comfortable, our sweat-wicking Academy Top is ready to become your everyday training essential. It's stretchy and light, so you stay quick on your feet as you pass, dribble and shoot. Plus, breathable mesh on the back helps keep things cool."
NikeCourt Dri-FIT Advantage,Men's Tennis Top,"Stretchy and breathable, the NikeCourt Dri-FIT Advantage Top will soon be your go-to for fast, fierce matches. Thanks to a new hybrid neckline, you'll get the look of a V-neck with the comfort of a crew. This product is made from at least 75% recycled polyester fibres."
Nike Dri-FIT Challenger,Men's Knit Running Trousers,Step up and take on your run in soft comfort. The Nike Dri-FIT Challenger Trousers are made with details like sweat-wicking technology and press studs to keep your gear close. A tapered fit means they won't get in your way. This product is made from 100% recycled polyester fibres.
NikeCourt Dri-FIT Advantage,Men's 18cm (approx.) Tennis Shorts,Experience next-level performance in the NikeCourt Dri-FIT Advantage Shorts. Not only are they made from incredibly stretchy fabric but they have elongated overlapping hem vents that are designed to give you ultimate side-to-side mobility—exactly what you need on the court. This product is made from at least 75% recycled polyester fibres.
Nike Dri-FIT Victory+,Men's Camo Golf Polo,"Crafted from breathable, sweat-wicking fabric, our Victory Polo puts a camo spin on golf performance."
Nike Sportswear JDI,Men's T-Shirt,"The Nike Sportswear JDI T-Shirt sets you up with soft jersey fabric and a ""Just Do It."" logo across the chest."
Nike Unscripted,Men's Golf Jogger,"Step up to the tee with the lightweight feel of our Unscripted Jogger. It's all about versatility, arriving ready to play on and off the course with stretchy fabric so you can swing free without a hitch. Bringing along extra tees or a scorecard? We added plenty of pockets so you can carry your golf essentials along for the journey."
Nike Pro Dri-FIT,Men's Shorts,"Much more than a base layer, the Nike Pro Dri-FIT Shorts hug you with lightweight fabric that keeps you feeling dry, cool and supported from warm-ups through to cool-downs. They're made from at least 75% recycled polyester fibres in a stretchy design that helps you move at full intensity during your toughest workouts or competitions."
NOCTA,Men's Tracksuit Jacket,"NOCTA, a collection for the collective, has arrived with new renditions of the classics. Premium in all the right ways, the NOCTA Tracksuit Jacket combines a comfortable feel with eye-catching colours. It's an elevated take on an everyday essential."
Nike Pro Dri-FIT,Men's Tight-Fit Long-Sleeve Top,The Nike Pro Dri-FIT Top hugs you in lightweight fabric with breathability built into high-heat zones to help keep you cool and dry from warm-ups to cool-downs. Stretchy fabric made from at least 75% recycled polyester fibres comes in a tight fit that easily layers under other tops.
Jordan Sport Dri-FIT,Men's Woven Trousers,"Fly on the court and look fly off it in the Jordan Sport Dri-FIT Trousers. Made from soft, sweat-wicking fabric, they've got a performance fit and feel with the functionality and style of the street. This product is made from at least 75% recycled polyester fibres."
Jordan Jumpman,Men's T-Shirt,"Rise above the ordinary. This light and soft tee is upgraded with sweat-wicking tech, keeping you fresh through all your workouts and hangouts."
Nike Dri-FIT ADV TechKnit Ultra,Men's Short-Sleeve Running Top,"Light like air. Cool like a breeze. The Nike Dri-FIT ADV TechKnit Ultra Top uses breathable, sweat-wicking technology to help keep the heat out and let you focus on the road ahead. Its advanced design is geared for movement, so you can fly freely through your stride. This product is made from 100% recycled polyester fibres."
Brazil,Men's Graphic T-Shirt,"Back your squad with pride in the Brazil T-Shirt. Made from soft cotton in a relaxed fit, it lets you root for the national team in casual comfort."
Jordan x Shelflife,Men's Hoodie,"Jordan and South Africa's Shelflife come together to give you this heavyweight hoodie. Made from thick fleece with an all-over wash, it has minimal branding on the chest and sleeves for a premium, pared-down look."
Air Jordan Wordmark,Men's Fleece Shorts,"Your favourite shorts have some new competition. Made from soft, heavyweight fleece, this pair looks classic but feels luxe. An all-over wash effect adds a perfectly faded vintage aesthetic."
Nike Dri-FIT Fleece,Men's Full-Zip Camo Fitness Hoodie,Bring the heat with our classic Fleece Hoodie. A camo print is combined with a soft touch for warmth in cool-weather workouts. We made this one for movement so you can stretch and jump without missing a beat.
Nike Sportswear,Men's Unlined Utility Cargo Trousers,"The Nike Sportswear Utility Cargo Trousers are outfitted with the storage and comfort that a day on your feet demands. Cargo pockets and a flap back pocket make sure your phone, keys and other essentials are stored safely whether you're on the trail or commuting from work. A roomy, stylish fit helps you move without distraction and look your best."
Nike ACG Therma-FIT 'Wolf Tree',Men's Pullover Hoodie,"Suit up with premium Polartec® warmth in this ACG Therma-FIT 'Wolf Tree' Hoodie. Designed to be worn as a layering piece or on its own, this pullover has a hood so you can keep the elements at bay."
